Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Weekly Wages,Annual Wages
Aaron Cresswell,"DF,FW",West Ham,33,11,4,436.0,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,50000,2600000
Aaron Hickey,DF,Brentford,21,9,9,713.0,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.04,30000,1560000
Aaron Ramsdale,GK,Arsenal,25,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120000,6240000
Aaron Ramsey,"MF,FW",Burnley,20,14,5,527.0,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,0.00,0.00,0.00,0.00,0.06,0.07,0.06,0.13,25000,1300000
Aaron Wan-Bissaka,DF,Manchester Utd,25,22,20,1780.0,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,0.00,0.10,0.10,0.00,0.01,0.08,0.01,0.08,90000,4680000
Abdoulaye Doucouré,"FW,MF",Everton,30,32,32,2629.0,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,0.24,0.03,0.27,0.24,0.30,0.10,0.30,0.40,130000,6760000
Adam Lallana,"MF,FW",Brighton,35,25,13,850.0,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,0.00,0.11,0.11,0.00,0.09,0.18,0.09,0.27,90000,4680000
Adam Smith,DF,Bournemouth,32,28,25,2150.0,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,0.00,0.08,0.08,0.00,0.00,0.05,0.00,0.06,35000,1820000
Adam Webster,DF,Brighton,28,15,13,1144.0,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.05,55000,2860000
Adam Wharton,MF,Crystal Palace,19,16,15,1297.0,14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,0.00,0.21,0.21,0.00,0.02,0.17,0.02,0.19,35000,1820000
Adama Traoré,"FW,MF",Fulham,27,17,1,377.0,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,0.48,0.72,1.19,0.48,0.36,0.17,0.36,0.53,65000,3380000
Albert Sambi Lokonga,MF,Luton Town,23,17,16,1303.0,14.5,1,3,4,1,0,0,4,0,0.6,0.6,1.4,2.0,0.07,0.21,0.28,0.07,0.04,0.10,0.04,0.14,50000,2600000
Alejandro Garnacho,FW,Manchester Utd,19,36,30,2565.0,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,0.25,0.14,0.39,0.25,0.29,0.18,0.29,0.47,50000,2600000
