Player,Pos,Squad,Age,MP,Starts,Min,90s_x,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s_y,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,Weekly Wages,Annual Wages
Aaron Cresswell,DF,West Ham,27,36,35,3069.0,34.1,1,3,4,1,0,0,7,0,0.8,0.8,3.2,3.9,0.03,0.09,0.12,0.03,0.02,0.09,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6,28.6,0.62,0.18,0.05,0.17,28.7,1204,1723,69.9,22518,9345,531,593,89.5,488,642,76.0,163,408,40.0,34,135,21,10,128,1346,361,82,3,23,196,212,67,16,66,1.94,66,1.94,36,24,1,2,3,0,9,0.26,6,3,0,0,0,0,34,21,12,20,2,19,30,63.3,11,42,17,25,44,78,117,1,34.1,2035,120,572,982,497,15,2035,14,5,35.7,9,64.3,870,4032,1959,35,48,1,26,20,1076,62,30000,1560000
Aaron Lennon,MF,Burnley,30,14,13,1118.0,12.4,0,2,2,0,0,0,2,0,0.6,0.6,0.8,1.4,0.00,0.16,0.16,0.00,0.05,0.07,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,40.0,0.81,0.32,0.00,0.00,16.8,202,305,66.2,2883,729,121,153,79.1,62,89,69.7,10,21,47.6,7,14,13,5,28,301,3,1,0,0,28,2,0,1,22,1.77,22,1.77,13,0,1,5,2,1,3,0.24,2,0,0,1,0,0,20,14,5,14,1,2,20,10.0,18,20,5,15,8,28,18,0,12.4,410,15,69,159,186,28,410,19,10,52.6,9,47.4,231,1324,719,26,10,10,8,22,254,60,35000,1820000
Aaron Lennon,"FW,MF",Everton,30,15,9,793.0,8.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,40.0,0.81,0.32,0.00,0.00,16.8,202,305,66.2,2883,729,121,153,79.1,62,89,69.7,10,21,47.6,7,14,13,5,28,301,3,1,0,0,28,2,0,1,22,1.77,22,1.77,13,0,1,5,2,1,3,0.24,2,0,0,1,0,0,20,14,5,14,1,2,20,10.0,18,20,5,15,8,28,18,0,12.4,410,15,69,159,186,28,410,19,10,52.6,9,47.4,231,1324,719,26,10,10,8,22,254,60,35000,1820000
Aaron Mooy,MF,Huddersfield,26,36,34,3067.0,34.1,4,3,7,3,1,1,4,0,3.0,2.2,4.0,6.2,0.12,0.09,0.21,0.09,0.09,0.12,0.06,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,21.4,0.82,0.18,0.11,0.50,23.2,1553,2098,74.0,25274,7426,788,921,85.6,509,657,77.5,162,337,48.1,50,203,28,9,239,1927,163,82,4,29,185,3,78,8,89,2.61,89,2.61,66,20,0,1,0,2,7,0.21,5,2,0,0,0,0,102,60,39,51,12,23,55,41.8,32,39,5,34,38,140,52,0,34.1,2434,55,367,1376,722,29,2433,25,16,64.0,9,36.0,1321,6784,2823,55,59,3,37,57,1516,77,50000,2600000
Aaron Ramsey,MF,Arsenal,26,24,21,1846.0,20.5,7,8,15,7,0,0,0,0,6.1,6.1,5.4,11.5,0.34,0.39,0.73,0.34,0.30,0.26,0.30,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,25,44.6,2.73,1.22,0.13,0.28,16.6,1065,1277,83.4,16341,4329,556,627,88.7,390,457,85.3,69,97,71.1,28,102,36,3,134,1236,32,20,10,12,17,12,0,9,63,3.07,63,3.07,53,0,4,3,3,0,13,0.63,10,0,1,0,2,0,35,27,18,17,0,8,44,18.2,36,14,3,11,24,59,6,1,20.5,1480,16,174,770,552,91,1480,36,29,80.6,7,19.4,1082,5745,2709,61,54,18,49,37,1214,161,120000,6240000
Aaron Wan-Bissaka,DF,Crystal Palace,19,7,7,627.0,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.00,0.00,,,,196,293,66.9,2676,1448,125,150,83.3,56,89,62.9,8,33,24.2,3,12,4,3,23,222,71,1,0,0,20,70,0,0,8,1.15,8,1.15,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,30,19,20,7,3,15,19,78.9,4,18,7,11,15,45,45,0,7.0,411,45,169,154,93,1,411,15,13,86.7,2,13.3,175,997,623,22,22,1,9,6,168,14,15000,780000
Abdelhamid Sabiri,MF,Huddersfield,20,5,2,220.0,2.4,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,0.00,0.41,0.41,0.00,0.11,0.06,0.11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,2.05,0.00,0.00,,15.9,66,100,66.0,907,230,40,58,69.0,17,25,68.0,4,9,44.4,3,9,2,0,13,95,4,1,0,0,1,0,0,1,8,3.27,8,3.27,7,0,0,0,1,0,1,0.41,1,0,0,0,0,0,5,4,2,0,3,1,7,14.3,6,4,0,4,1,6,2,0,2.4,133,3,10,75,49,5,133,4,1,25.0,3,75.0,52,215,106,2,3,0,6,1,90,8,17500,910000
Abdoulaye Doucouré,MF,Watford,24,37,37,3324.0,36.9,7,3,10,7,0,0,10,0,3.5,3.5,2.3,5.9,0.19,0.08,0.27,0.19,0.10,0.06,0.10,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,17,36.2,1.27,0.46,0.15,0.41,20.7,1885,2278,82.7,30698,7812,907,1054,86.1,787,897,87.7,132,193,68.4,40,152,30,3,222,2212,60,35,2,16,26,2,0,6,99,2.68,99,2.68,83,1,6,4,1,4,7,0.19,6,0,1,0,0,0,79,52,28,42,9,27,79,34.2,52,43,10,33,54,133,61,0,36.9,2655,95,502,1608,585,66,2655,53,41,77.4,12,22.6,1604,7524,3931,73,62,7,55,46,1692,79,20000,1040000
Adam Lallana,"MF,FW",Liverpool,29,12,1,244.0,2.7,0,0,0,0,0,0,1,0,1.5,1.5,0.4,1.8,0.00,0.00,0.00,0.00,0.55,0.13,0.55,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0.0,4.06,0.00,0.00,,18.9,192,229,83.8,2309,705,126,136,92.6,46,54,85.2,3,11,27.3,7,18,11,2,33,226,3,1,0,0,8,1,1,0,20,7.38,20,7.38,17,0,1,1,1,0,2,0.74,1,0,0,1,0,0,3,1,3,0,0,2,10,20.0,8,3,0,3,1,4,1,0,2.7,261,1,20,121,123,19,261,7,6,85.7,1,14.3,180,906,393,12,8,2,10,10,220,38,110000,5720000
Adam Smith,"DF,MF",Bournemouth,26,27,22,2071.0,23.0,1,3,4,1,0,0,6,0,0.5,0.5,1.6,2.1,0.04,0.13,0.17,0.04,0.02,0.07,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,23.1,0.56,0.13,0.08,0.33,21.3,898,1119,80.3,14432,4294,464,523,88.7,339,423,80.1,71,120,59.2,22,64,13,5,90,920,198,21,1,7,35,171,6,1,53,2.30,53,2.30,39,3,8,1,1,1,6,0.26,5,0,1,0,0,0,50,36,33,16,1,24,53,45.3,29,46,8,38,31,81,73,0,23.0,1413,57,405,656,370,38,1413,44,29,65.9,15,34.1,719,4716,2380,56,34,6,31,17,787,99,35000,1820000
