Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,xAG,npxG/90,npxG+xAG/90,Gls Against 90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,GK Cmp 40y,GK 40y Att,GK Cmp 40y%,Pass Att (GK),Thr Att (GK),Launch%,AvgLen_Pass (GK),GoalKick Att,GoalKick Launch%,AvgLen_GoalKick,Opp Crosses,Crosses Stp,Crosses Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShDist,Sh_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_Against,G/SoT_Against,Cmp_tot,Att_tot,Cmp%_tot,TotDist_Passed,PrgDist_Passed,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,KP,1/3,PPA,CrsPA,PrgP,Live_Passes,Dead,FK,TB,Sw,Crs,TI,CK,Off,SCA,SCA90,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackles,Tkl_Challenge,Att_Challenge,Tkl%_Challenge,Lost_Challenge,Blocks,Sh_block,Pass_block,Int,Tkl+Int,Clr,Err,90s,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Live_Touches,Att_takeon,Succ_takeon,Succ%_takeon,Tkld_takeon,Tkld%_takeon,Carries,TotDist_Carried,PrgDist_Carried,PrgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR,# Pl,Weekly Wages,Annual Wages
2,Arsenal,38,28,5,5,91,29,+62,89,2.34,76.1,27.9,+48.2,+1.27,25.0,58.2,86,62,148,76,10,10,64,2,2.26,1.63,3.89,2.00,55.3,1.80,3.26,0.76,83,54,67.5,18,47.4,24.1,0.26,157,441,35.6,1058,189,35.1,30.7,195,35.9,31.1,375,48,12.8,59,1.55,17.9,647,209,32.3,17.03,5.50,0.12,0.36,15.8,320,25.0,8.42,2.11,0.08,0.33,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,513,1546,548,68,2106,20941,1530,443,104,65,670,560,265,87,1185,31.18,1185,31.18,926,82,58,66,33,20,152,4.00,104,16,8,11,13,0,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,38.0,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,821,575,327,525,375,18917,2088,52,3193000,166036000
4,Aston Villa,38,20,8,10,76,61,+15,68,1.79,63.3,59.9,+3.4,+0.09,26.9,53.1,72,55,127,68,4,4,94,2,1.89,1.45,3.34,1.79,48.6,1.59,2.87,1.61,173,115,65.3,8,21.1,61.7,0.35,136,380,35.8,1386,176,21.8,27.1,246,31.7,29.5,419,51,12.2,70,1.84,8.4,511,182,35.6,13.45,4.79,0.13,0.37,16.0,453,37.7,11.92,4.50,0.12,0.33,16133,19363,83.3,281128,95293,7110,7878,90.3,7381,8273,89.2,1330,2368,56.2,398,1160,363,67,1451,17499,1817,628,80,95,651,613,231,47,912,24.00,912,24.00,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,38.0,23059,2807,8171,9636,5459,1010,23055,757,345,45.6,315,41.6,14451,78629,41239,775,490,217,477,416,15824,1438,52,2252885,117150000
12,Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.9,58.1,-2.2,-0.06,25.7,44.4,52,39,91,50,2,3,79,3,1.37,1.03,2.39,1.32,40.5,1.41,2.47,1.76,194,127,68.6,9,23.7,63.2,0.30,199,581,34.3,976,177,44.0,41.7,266,57.1,43.9,492,31,6.3,37,0.97,14.8,539,175,32.5,14.18,4.61,0.09,0.29,16.7,527,35.5,13.87,4.92,0.11,0.32,11899,15920,74.7,220978,83235,4976,5868,84.8,5270,6214,84.8,1393,2964,47.0,414,1074,352,88,1314,14065,1799,419,48,91,709,774,235,56,952,25.05,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,38.0,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,709,513,240,637,386,11771,1296,60,1054500,54834000
16,Brentford,38,10,9,19,56,65,-9,39,1.03,58.2,56.0,+2.2,+0.06,26.6,45.2,54,38,92,51,3,3,89,2,1.42,1.00,2.42,1.34,42.7,1.47,2.60,1.71,184,119,65.8,7,18.4,57.0,0.30,254,677,37.5,1330,136,37.1,34.5,318,57.5,44.9,605,46,7.6,38,1.00,12.6,470,159,33.8,12.37,4.18,0.11,0.32,15.6,546,33.3,14.37,4.79,0.12,0.35,12551,16818,74.6,225971,88492,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,332,965,333,106,1283,14996,1752,464,70,113,706,683,184,70,804,21.16,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,38.0,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,505,363,156,556,271,12416,1276,59,768000,39936000
11,Brighton,38,12,12,14,55,62,-7,48,1.26,56.8,55.4,+1.4,+0.04,25.9,59.8,50,36,86,45,5,6,90,3,1.32,0.95,2.26,1.18,41.6,1.37,2.47,1.63,165,105,66.1,6,15.8,51.1,0.28,102,274,37.2,1278,186,20.3,24.4,254,5.9,12.0,405,24,5.9,72,1.89,15.8,555,198,35.7,14.61,5.21,0.08,0.23,16.7,462,34.4,12.16,4.18,0.12,0.34,21810,25029,87.1,341060,113686,11574,12473,92.8,8261,9125,90.5,1296,2164,59.9,429,1484,384,81,1780,23334,1611,511,62,76,671,541,206,84,1010,26.58,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21,38.0,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,864,584,269,579,342,21577,1767,52,1200000,62400000
19,Burnley,38,5,9,24,41,78,-37,24,0.63,40.6,70.4,-29.7,-0.78,24.5,47.4,40,30,70,37,3,3,77,7,1.05,0.79,1.84,0.97,29.7,1.01,1.79,2.05,244,168,70.5,2,5.3,75.8,0.29,215,825,26.1,1826,216,35.6,34.3,284,61.6,44.7,562,50,8.9,74,1.95,17.2,430,137,31.9,11.32,3.61,0.09,0.27,17.7,608,39.0,16.00,6.24,0.11,0.29,13937,17959,77.6,246047,83556,6311,7267,86.8,6017,7042,85.4,1324,2755,48.1,326,976,216,54,1181,16189,1694,445,49,77,550,670,180,76,757,19.92,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22,38.0,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,727,460,240,517,296,13779,1162,63,740500,38506000
6,Chelsea,38,18,9,11,77,63,+14,63,1.66,74.5,58.1,+16.4,+0.43,24.2,58.6,76,51,127,65,11,12,109,4,2.00,1.34,3.34,1.71,51.4,1.71,3.06,1.66,186,125,67.7,8,21.1,52.5,0.27,128,361,35.5,1129,184,22.5,28.1,282,37.9,32.6,514,39,7.6,47,1.24,15.8,537,194,36.1,14.13,5.11,0.12,0.34,17.3,551,33.0,14.50,4.79,0.10,0.31,20039,23364,85.8,328448,109853,10006,10877,92.0,8176,9060,90.2,1365,2328,58.6,419,1351,352,51,1615,21587,1692,496,116,101,558,611,202,85,980,25.79,980,25.79,720,62,76,46,50,26,133,3.50,89,7,11,10,12,4,663,376,325,235,103,323,630,51.3,307,448,166,282,298,961,785,24,38.0,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,873,543,291,604,370,19899,1600,60,3020000,157040000
10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29,48.6,52.0,-3.4,-0.09,26.7,42.3,56,43,99,52,4,4,73,2,1.47,1.13,2.61,1.37,38.7,1.20,2.21,1.53,154,98,64.3,10,26.3,47.5,0.29,176,605,29.1,826,115,51.8,41.2,255,69.4,49.2,586,30,5.1,29,0.76,11.2,452,162,35.8,11.89,4.26,0.12,0.32,17.2,457,33.0,12.03,3.97,0.12,0.35,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,353,995,273,60,1176,14948,1734,484,52,97,583,721,178,72,794,20.89,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6,38.0,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,12811,1161,53,1327885,69050000
15,Everton,38,13,9,16,40,51,-11,42,1.11,54.0,55.2,-1.2,-0.03,27.1,40.8,40,17,57,38,2,3,82,1,1.05,0.45,1.50,1.00,38.1,1.36,2.36,1.34,165,117,73.9,13,34.2,52.4,0.28,360,901,40.0,1296,141,56.7,41.6,274,60.6,48.2,570,30,5.3,54,1.42,15.9,504,152,30.2,13.26,4.00,0.08,0.25,16.7,530,29.6,13.95,4.13,0.08,0.25,11349,15514,73.2,208537,88374,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,339,958,284,77,1129,13704,1721,409,45,78,752,768,181,89,854,22.47,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12,38.0,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,11254,1119,46,1518808,78978000
13,Fulham,38,13,8,17,55,61,-6,47,1.24,50.8,62.9,-12.1,-0.32,28.4,50.6,54,40,94,52,2,2,84,4,1.42,1.05,2.47,1.37,37.6,1.30,2.29,1.61,190,133,72.1,10,26.3,55.7,0.26,144,439,32.8,1272,167,25.5,28.5,301,38.2,33.0,472,19,4.0,40,1.05,14.2,499,175,35.1,13.13,4.61,0.10,0.30,17.0,515,35.3,13.55,4.79,0.10,0.27,16311,20237,80.6,290238,100538,7028,7907,88.9,7277,8347,87.2,1586,2853,55.6,379,1117,355,94,1467,18414,1772,464,58,118,736,696,212,51,877,23.08,877,23.08,652,79,40,67,24,15,95,2.50,73,6,4,8,3,1,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14,38.0,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,52,1282500,66690000
